Time (s),Channel 1 (V),Channel 2 (V)
-0.002580165,0.0002895881000903825,0.1853981048821314
-0.002579535,-4.714123475936039e-05,0.2115333262210702
-0.002578905,0.0002895881000903825,0.2190005323179251
-0.002578275,-0.0003838705696092564,0.2227341353663398
-0.002577645,-4.714123475951353e-05,0.2077997231726605
-0.002577015,-4.714123475951353e-05,0.204066120124239
-0.002576385,-0.0003838705696092564,0.1965989140273994
-0.002575755,-0.001057329239309202,0.1592628835431808
-0.002575125,-0.001057329239309202,0.1144596469621225
-0.002574495,-0.0007205999044594587,0.07339001342950451
-0.002573865,-0.0003838705696094096,0.05845560123579975
-0.002573235,-0.0003838705696092564,0.04725479209054368
-0.002572605,-4.714123475951353e-05,0.06592280733264279
-0.002571975,-0.0003838705696094096,0.09205802867159343
-0.002571345,-0.0007205999044591525,0.09952523476843647
-0.002570715,-0.0003838705696094096,0.09952523476843647
-0.002570085,-0.0007205999044593056,0.0883244256231719
-0.002569455,-0.0007205999044593056,0.07712361647791244
-0.002568825,-0.001057329239309202,0.06965641038106431
-0.002568195,-0.0007205999044593056,0.07339001342948413
-0.002567565,-0.0007205999044593056,0.06965641038106431
-0.002566935,-0.0007205999044593056,0.06592280733264279
-0.002566305,-0.0007205999044594587,0.04725479209052161
-0.002565675,-0.001057329239309202,0.01738596770316303
-0.002565045,-0.0007205999044593056,0.006185158557898474
-0.002564415,-0.0003838705696095627,0.01738596770315794
-0.002563785,-0.001057329239309202,-0.001282047538944565
-0.002563155,-0.0007205999044593056,-0.01621645973263234
-0.002562525,-0.0007205999044593056,-0.01995006278105216
-0.002561895,-0.001057329239309202,-0.0460852841200028
-0.002561265,-0.001057329239309049,-0.07595410850736646
-0.002560635,-0.0007205999044593056,-0.05728609326526736
-0.002560005,-0.0007205999044593056,-0.04235168107158128
-0.002559375,-0.001394058574158791,-0.03115087192632181
-0.002558745,-0.001730787909008994,-0.04235168107158128
-0.002558115,-0.00206751724385889,-0.08342131460421799
-0.002557485,-0.001394058574159098,-0.1170237420400117
-0.002556855,-0.001730787909008994,-0.1356917572821193
-0.002556225,-0.00206751724385843,-0.1468925664273787
-0.002555595,-0.001057329239309202,-0.1356917572821193
-0.002554965,-0.001394058574159098,-0.1170237420400117
-0.002554335,-0.002067517243858584,-0.1431589633789504
-0.002553705,-0.001730787909008994,-0.1879621999600206
-0.002553075,-0.001394058574159098,-0.2252982304442357
-0.002552445,-0.001730787909008994,-0.2551670548316079
-0.002551815,-0.0007205999044593056,-0.2738350700737155
-0.002551185,-0.0003838705696095627,-0.2439662456863077
-0.002550555,-0.0007205999044593056,-0.1655605816694914
-0.002549925,-0.001057329239309202,-0.1394253603305408
-0.002549295,-0.001057329239309202,-0.1431589633789606
-0.002548665,-0.001057329239309202,-0.1468925664273838
-0.002548035,-0.001730787909008994,-0.1580933755726484
-0.002547405,-0.001394058574159251,-0.1991630091052664
-0.002546775,-0.00206751724385889,-0.2178310243473927
-0.002546145,-0.001730787909008687,-0.229031833492659
-0.002545515,-0.001057329239309202,-0.2327654365410788
-0.002544885,-0.001057329239309202,-0.2140974212989712
-0.002544255,-0.001394058574158945,-0.1916958030084523
-0.002543625,-0.0003838705696094096,-0.176761390814756
-0.002542995,-0.0003838705696094096,-0.1282245511852762
-0.002542365,-0.0007205999044591525,-0.09462212374949784
-0.002541735,-0.0003838705696094096,-0.05728609326526736
-0.002541105,-0.001057329239309355,-0.06101969631370756
-0.002540475,-0.001394058574159098,-0.1020893298463256
-0.002539845,-0.001394058574159098,-0.1394253603305408
-0.002539215,-0.001057329239309355,-0.1618269786210597
-0.002538585,-0.001057329239309202,-0.1692941847179129
-0.002537955,-0.001394058574159098,-0.1879621999600206
-0.002537325,-0.001394058574159098,-0.2140974212989593
-0.002536695,-0.001394058574159098,-0.2140974212989712
-0.002536065,-0.001730787909008687,-0.232765436541072
-0.002535435,-0.001057329239309202,-0.2178310243473927
-0.002534805,-0.00206751724385889,-0.2252982304442357
-0.002534175,-0.001730787909008841,-0.2551670548316181
-0.002533545,-0.001394058574159098,-0.277568673122137
-0.002532915,-0.001730787909008994,-0.2813022761705585
-0.002532285,-0.002740975913558223,-0.3186383066547567
-0.002531655,-0.002404246578708786,-0.3485071310421459
-0.002531025,-0.002404246578708633,-0.3709087493326835
-0.002530395,-0.00206751724385889,-0.3895767645747826
-0.002529765,-0.001730787909008994,-0.4194455889621548
-0.002529135,-0.001730787909009147,-0.4493144133495303
-0.002528505,-0.00206751724385889,-0.45678161944637
-0.002527875,-0.002404246578708786,-0.4493144133495269
-0.002527245,-0.002740975913558529,-0.4605152224947864
-0.002526615,-0.002404246578708786,-0.4679824285916345
-0.002525985,-0.001394058574159098,-0.4679824285916345
-0.002525355,-0.001394058574159098,-0.4306463981074193
-0.002524725,-0.002404246578708786,-0.4343800011558409
-0.002524095,-0.002067517243858737,-0.4381136042042522
-0.002523465,-0.001730787909008994,-0.4157119859137333
-0.002522835,-0.001730787909008994,-0.3933103676232041
-0.002522205,-0.00240424657870848,-0.4082447798168835
-0.002521575,-0.00206751724385889,-0.4306463981074193
-0.002520945,-0.001730787909008994,-0.45678161944637
-0.002520315,-0.002404246578708786,-0.4866504438337421
-0.002519685,-0.00206751724385889,-0.5202528712695358
-0.002519055,-0.002404246578708633,-0.5389208865116553
-0.002518425,-0.00206751724385889,-0.565056107850594
-0.002517795,-0.00206751724385889,-0.5538552987053295
-0.002517165,-0.001730787909009147,-0.5277200773663907
-0.002516535,-0.002740975913558682,-0.5277200773663788
-0.002515905,-0.002404246578708786,-0.5538552987053295
-0.002515275,-0.002404246578708786,-0.5538552987053295
-0.002514645,-0.002404246578708786,-0.565056107850594
-0.002514015,-0.00206751724385889,-0.5687897108990071
-0.002513385,-0.00206751724385889,-0.5501216956569079
-0.002512755,-0.001730787909008994,-0.5501216956569079
-0.002512125,-0.001730787909008994,-0.5314536804148088
-0.002511495,-0.002740975913558682,-0.5202528712695358
-0.002510865,-0.002740975913558682,-0.5501216956569079
-0.002510235,-0.002067517243859196,-0.5762569169958467
-0.002509605,-0.002404246578708786,-0.5687897108990155
-0.002508975,-0.002740975913558529,-0.5687897108990121
-0.002508345,-0.002404246578708786,-0.5613225048021725
-0.002507715,-0.002404246578708786,-0.565056107850594
-0.002507085,-0.002404246578708786,-0.5762569169958535
-0.002506455,-0.002740975913558682,-0.565056107850594
-0.002505825,-0.002404246578708786,-0.5799905200442801
-0.002505195,-0.002740975913558529,-0.5837241230926999
-0.002504565,-0.002740975913558682,-0.5949249322379662
-0.002503935,-0.003077705248408884,-0.6023921383348279
-0.002503305,-0.00375116391810837,-0.6434617718674459
-0.002502675,-0.002740975913558682,-0.6957322145453472
-0.002502045,-0.002740975913558529,-0.7218674358842928
-0.002501415,-0.002404246578708786,-0.7106666267390332
-0.002500785,-0.002740975913558682,-0.7031994206421902
-0.002500155,-0.003414434583258168,-0.7218674358842895
-0.002499525,-0.003077705248408578,-0.7629370694169346
-0.002498895,-0.002740975913558529,-0.7778714816106123
-0.002498265,-0.002404246578708786,-0.7592034663685131
-0.002497635,-0.00375116391810837,-0.7517362602716701
-0.002497005,-0.003077705248408731,-0.7778714816106173
-0.002496375,-0.003414434583258474,-0.7704042755137777
-0.002495745,-0.003414434583258474,-0.7890722907558853
-0.002495115,-0.003077705248408731,-0.7778714816106258
-0.002494485,-0.00375116391810837,-0.7853386877074637
-0.002493855,-0.003077705248408578,-0.8114739090464059
-0.002493225,-0.003077705248408578,-0.7928058938043068
-0.002492595,-0.003077705248408578,-0.7928058938043068
-0.002491965,-0.003414434583258474,-0.789072290755892
-0.002491335,-0.003414434583258474,-0.8040067029495713
-0.002490705,-0.00375116391810837,-0.8413427334337865
-0.002490075,-0.003414434583258627,-0.8674779547727253
-0.002489445,-0.003414434583258474,-0.8898795730632663
