Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-71.67292739966014,0,-0.3915930587394684,0
4.8828125,-71.85284332107189,1.228336620920592,-0.7006491067162932,0.02493888186334605
9.765625,-75.30996734433911,1.616285625184661,-4.197129686448958,0.05222850099883725
14.6484375,-84.85771922345964,8.716188915060092,-14.61923502967036,0.1035874609946123
19.53125,-90.68230914877066,30.52996901709645,-37.27706658641107,0.6592600796888547
24.4140625,-88.28931727773335,14.17302745358088,-71.38567549680074,26.75503584480313
29.296875,-87.32844217559688,7.195486560351561,-74.85582445218859,18.20269000314011
34.1796875,-89.84892771224389,37.64323644569138,-79.06629755941032,9.750018819614386
39.0625,-88.59817761807884,87.62149942977243,-83.51579109325755,35.17219455491642
43.9453125,-86.94509907945834,101.0978046499735,-83.93414845089241,113.4300277328092
48.828125,-87.35485874708155,103.2317272715115,-78.27543658245621,146.8527256594516
53.7109375,-90.88573806043554,92.76689066168214,-77.60130324005735,151.1951890604635
58.59375,-100.2856864270757,44.33082047015831,-78.46151301079769,147.7709645021414
63.4765625,-99.41321186976303,102.8246437986587,-81.63345968894728,138.7554043291277
68.359375,-97.0494553617509,71.67388866566741,-99.34256097327498,109.2736776621924
73.2421875,-101.0209845699166,29.90340367268334,-89.68475321809694,129.7466011420408
78.125,-101.7910703636895,148.7779268681085,-95.32567203230478,136.4337934397167
83.0078125,-102.9491396670568,87.72233588069459,-87.46909038316959,155.2951833069574
87.890625,-102.5244566203314,13.25573555457915,-80.26371145367092,143.9621824674032
92.7734375,-95.49949353770253,124.1950641894739,-77.59158086200053,121.7016487538358
97.65625,-91.74402110115477,104.0525488533916,-78.09169095618071,125.428449029172
102.5390625,-89.65423502847095,91.57293297659804,-82.98358085026663,162.9751691817344
107.421875,-89.52203154481295,92.1504922978808,-85.22915233363642,29.52952238381141
112.3046875,-94.55142381121549,89.76417592944333,-82.5579387850417,45.96047451468724
117.1875,-95.04195160332303,40.84687608947594,-81.203525443058,38.92043994861449
122.0703125,-90.41772885883691,28.23563453874446,-82.98448668563819,4.208055931366312
126.953125,-87.81877251734871,31.61370851163415,-81.32084354701901,170.6020404005471
131.8359375,-84.82097204312606,43.7771325710192,-78.48009216059984,172.641004911341
136.71875,-82.72255095676255,57.88383610046562,-76.20454762181788,172.5814346788719
141.6015625,-81.22407790996778,68.76636176171121,-75.64502414281873,6.792902579969176
146.484375,-80.24981149954965,74.29231318710602,-76.64653339888987,30.46108089043697
151.3671875,-80.12700139973937,81.0873058958887,-78.13935127533652,50.50414220726451
156.25,-81.45177623653581,90.73174843956001,-81.90070493799237,65.02924691171813
161.1328125,-84.70339609421077,109.0781227517533,-86.71330089017863,121.9722037920451
166.015625,-87.49305225964801,139.488845347275,-84.47793891343474,164.762664519632
170.8984375,-93.20253649250874,159.7971528039364,-85.73966917810395,7.537856476234335
175.78125,-100.4373297945166,155.9880338445404,-84.65796494111588,179.8011255034523
180.6640625,-87.76110028736497,7.143012577357722,-80.40175895386845,136.323182170055
185.546875,-81.87685094060836,22.8240391163671,-76.83390847333517,110.6679829536051
190.4296875,-79.90530113711495,33.35888891938357,-76.18085898785588,101.3089314854326
195.3125,-80.40199160837859,44.82073449516454,-76.15676843588591,90.27367395944596
200.1953125,-82.69206107290665,49.72552326872616,-76.28814463137523,74.77743072826128
205.078125,-90.75122513524929,42.58726718634702,-78.40809785601458,63.93363336484423
209.9609375,-95.05071739997126,79.21243538069949,-84.25104929293144,56.0488472799771
214.84375,-88.38275763378246,68.18968699283822,-91.57972206667834,81.48918592062006
219.7265625,-89.11485850194185,56.8602256207085,-79.63903832554789,62.50819646103595
224.609375,-94.68934720446131,175.5830444503926,-78.27093469651123,66.63849123183257
229.4921875,-88.39423824202666,101.7425301663328,-77.51492413346969,91.74644882773552
234.375,-85.09427721287635,83.7337647739438,-75.61001531805204,110.2999160297061
239.2578125,-85.62576341229524,76.21145989464863,-76.49867226431216,114.4890304334091
244.140625,-88.96258070760787,73.22896917247719,-77.27884276261847,99.28682422159699
249.0234375,-97.23571616820641,81.7284379389706,-76.00602426777817,75.88640501147086
253.90625,-93.44789979053192,39.23102463784932,-76.41653108736097,44.20852252219549
258.7890625,-85.84406549893282,47.09391603389432,-77.69230645324612,4.952597821511588
263.671875,-84.97014319323419,53.82686866478798,-77.94247631266725,146.9209369915175
268.5546875,-86.39788780072863,66.09838747953479,-75.51989510831417,116.3533158173349
273.4375,-88.48551966702692,75.88132246022282,-74.40040279890576,98.8670816262091
278.3203125,-95.88931481002801,95.47462207989855,-77.27630355003099,96.32873016821466
283.203125,-99.32483513416759,27.56889912380516,-82.0097694806453,107.6658106904959
288.0859375,-98.92010072326534,91.66138536488175,-82.49470036026057,131.7701901557465
292.96875,-94.8581818822185,140.6571495432927,-77.85412288549627,161.7621350530605
297.8515625,-95.78782092242577,157.5607763019899,-75.32047233256962,169.1167812038968
302.734375,-94.20160188881157,147.5229338549571,-75.12932920832094,160.1302017617775
307.6171875,-89.15188564014629,128.1613102300853,-76.19848547269042,149.6791612364331
312.5,-86.30999544071413,121.8301444946999,-79.60189774667766,125.3056212024583
317.3828125,-83.00599770997417,115.0862485509858,-78.47148333894866,90.24114503309578
322.265625,-81.35965417964954,109.561591877223,-77.60177365168025,77.08184332649796
327.1484375,-82.66441433630379,107.663884051798,-79.11010516598013,51.80169018393562
332.03125,-84.87692750006821,100.5006624915332,-81.19714135708166,26.70776451224824
336.9140625,-86.07420973588995,80.43566418853099,-84.33224623371714,15.3149187102807
341.796875,-87.93705131539875,58.57949041709448,-84.86023041422884,25.7631386324911
346.6796875,-88.43933157825651,34.68335928410193,-80.92110403699132,38.77412338691332
351.5625,-86.03407596702036,33.5322181071455,-76.94623688499041,34.75777245567063
356.4453125,-84.95283755335876,27.30616202770683,-74.31974571006897,23.63875680859324
361.328125,-83.98706240555396,15.58593528636137,-72.68650176909561,13.03249735197222
366.2109375,-83.3452130706538,15.02838126374257,-72.63880278934188,6.348683064116836
371.09375,-84.17469690603897,10.32880528208045,-75.46228647724118,1.807540594194363
375.9765625,-87.74318351068422,5.557730056670537,-85.93736748908026,161.6984482995306
380.859375,-100.1971162657651,175.5737664708897,-84.90002584682587,49.71000297914322
385.7421875,-94.06430633442653,53.65819331885875,-81.61073175376956,46.34081691443085
390.625,-88.21099458502513,52.29258680217008,-79.23739943555262,33.11908444775406
395.5078125,-87.21036936452032,55.25842661901554,-78.35736563818956,13.86920392426314
400.390625,-89.91350320288947,70.64637739205453,-77.69343093077522,167.2984692559643
405.2734375,-95.12581616296058,106.0897959230666,-75.14318684394478,165.9224476065303
410.15625,-102.7349667069708,165.6771352609858,-74.94837885711308,168.905895963973
415.0390625,-105.3545605060108,112.2836771130225,-80.39530947785127,161.2409699142007
419.921875,-101.6177955063617,31.61069185964082,-107.9187469768753,145.6737832931204
424.8046875,-97.08301693353707,63.11141261136129,-85.89558694945696,146.3545958153781
429.6875,-99.34678064495498,77.18061691787483,-84.36248047148383,161.6282635311423
434.5703125,-107.6320967623322,2.723323373797075,-85.41164270512277,25.7851716131715
439.453125,-98.59110000740721,57.3581788848728,-85.37977778876882,99.02881726271622
444.3359375,-102.7359432598502,38.33025216694671,-82.6051110916414,126.0288819670836
449.21875,-88.16608046161659,47.03697243439782,-82.42130800449722,107.2849216886336
454.1015625,-84.4109350405604,45.67977599684707,-84.76422692276824,151.1488714446653
458.984375,-83.23982587374658,43.91537952432763,-78.24615480552096,22.68040982731096
463.8671875,-86.39220215257035,43.09959601297182,-79.65433773700443,27.67937025426205
468.75,-99.3348182732087,75.31102451767363,-84.21332322434745,37.32738539954474
473.6328125,-92.45247761072284,176.5078305920651,-82.56199213077471,73.47466523537707
478.515625,-89.83725509537319,1.29059729611874,-82.36807231453078,137.7704799873757
483.3984375,-94.92997876174969,25.4905763491885,-77.01176505263517,9.568234639989637
488.28125,-91.70695510691851,128.4081419766688,-75.88181555567031,27.23691265828985
493.1640625,-85.10948695535349,145.3171539953787,-75.42473797729528,45.76598566484554
498.046875,-84.11624121366012,150.5609313071586,-72.86898958062822,52.1657053265662
502.9296875,-86.21446413108487,159.1466035001251,-72.06323895802727,50.33960843774563
507.8125,-88.82857471796727,7.541855291095041,-73.98297311579664,37.76128224120731
512.6953125,-88.43673403672234,43.83832737282253,-75.00642451233576,13.96031170365005
517.578125,-88.97665226757483,41.40947070005467,-75.67938575071241,3.460921635708905
522.4609375,-89.6424363717192,14.76981047174125,-79.60431445649067,159.8092369561106
527.34375,-95.42002086873829,156.3048493061189,-82.25096858372332,101.9268532456085
532.2265625,-91.82860000436571,52.89277291205718,-81.03063859140939,70.63076488831106
537.109375,-87.33422881560683,26.93275731019114,-77.84778790805261,78.29643304844522
541.9921875,-85.20683515137873,12.0306990959802,-74.8726225395346,87.07071379904808
546.875,-85.2480387620555,0.5754790268932445,-73.05424745761886,93.70499291075544
551.7578125,-87.36495035471755,167.9594047521708,-72.04385299498664,98.78847511598872
556.640625,-90.48022177213804,159.6724975926304,-72.00540862734999,96.95045137259241
561.5234375,-94.6370235631353,167.8911498814887,-72.26559420370162,95.82870670515295
566.40625,-96.55514351571099,23.50715563116058,-72.76186696380309,100.2866879997135
571.2890625,-96.00525301135769,27.07800401943262,-72.68337947409398,105.866361101055
576.171875,-97.42008469654044,17.95470645096702,-72.5244050343571,112.0449512200655
581.0546875,-103.2351155286666,4.449461663230792,-73.02664462195422,116.8964435913161
585.9375,-100.9708471820071,96.93267375230032,-73.53166118855869,119.0335594772951
590.8203125,-94.5889276162815,64.37825330924721,-74.39989023058141,112.4956896020016
595.703125,-91.50938243644278,61.12948728240841,-74.33248384577566,102.213522259606
600.5859375,-89.97637525484988,81.37471409201957,-73.16292845204447,105.3865639590661
605.46875,-89.38698948954693,95.77683093499051,-73.00377694897904,102.8159176585152
610.3515625,-88.60133721319667,119.5703269444055,-73.42256232135676,95.40212357535317
615.234375,-85.74331279721497,145.3674433130472,-72.66418836001993,99.27738863345223
620.1171875,-84.66515558538407,155.5892693200241,-72.27746544050217,96.88934525314018
625,-85.35310554062123,158.3346416075374,-73.72082734113916,80.2619934862946
629.8828125,-88.39814088994382,166.1381919190123,-75.45349040254726,57.44786612690469
634.765625,-94.60330301070772,45.20523469774383,-76.41331695544393,13.64746812978013
639.6484375,-90.46066494162675,103.4289691156947,-72.4900500683009,155.9377760937718
644.53125,-88.80057779012571,125.3089514591012,-70.42421776055536,142.5045557502218
649.4140625,-89.49842291891187,134.6647543794988,-69.57673298799881,132.8290496475226
654.296875,-95.83688474833691,142.3689626706272,-69.1444100938777,129.3346672332184
659.1796875,-97.28621740713174,10.64029147968391,-69.9578941801237,131.1106211891606
664.0625,-92.46302597383854,163.5084918208445,-71.38470011387192,132.794148601417
668.9453125,-90.02811331708061,135.5829504082377,-73.22677533245115,131.0877955316603
673.828125,-89.11143427970066,125.695360015915,-78.36293159190103,134.8062817188622
678.7109375,-91.32187852543424,129.5053074218152,-96.46332318841596,26.10453932133672
683.59375,-100.4133417017484,15.85772987388487,-89.36330320088688,133.6897219794986
688.4765625,-92.98439246942544,67.69158843160592,-86.59282409109677,66.80736202163524
693.359375,-88.6450370761591,55.91183266117452,-77.86149458698368,53.51003975727068
698.2421875,-86.21743100753926,39.42573686062286,-76.11895293551956,47.70719371210065
703.125,-85.72669073010894,14.42331594285159,-75.63487252929153,42.30462362135233
708.0078125,-86.45383543655825,172.6868955605282,-76.28785923949727,54.79386471918447
712.890625,-89.66948411651714,142.6771367317445,-78.75039789969902,87.25985961746854
717.7734375,-91.7071159199815,95.15817491262429,-79.50030563273242,109.1006238897337
722.65625,-93.17955117605658,37.35318287172363,-79.12318748744578,103.8628160378895
727.5390625,-90.57088711695909,171.4770190399563,-78.24615950362494,98.05697534789655
732.421875,-93.40667579701616,126.1726048760376,-76.7949443004679,77.42475723551998
737.3046875,-91.72071911056378,43.08620013515046,-74.52977974103229,59.91869503371545
742.1875,-89.15016423961517,15.05720245528168,-74.66621695267999,49.35095369562888
747.0703125,-88.85837691439347,178.0883741670768,-74.99361291421287,31.85806064490781
751.953125,-89.86661562295257,152.3473004809524,-74.84524967004344,24.81852860839628
756.8359375,-99.46360934312303,108.3213353013455,-76.80538974005728,28.36857458258528
761.71875,-93.05814272675228,157.1383357418838,-79.67185556966928,36.54609817797336
766.6015625,-90.31827149546295,146.2495567154001,-83.45530169928952,50.04426416516606
771.484375,-89.64652028045703,138.5406878817633,-95.39360493899213,89.04550618892098
776.3671875,-89.14584845883404,142.8230613459116,-89.16853760688002,77.66925346212344
781.25,-90.96067761841338,164.9959525082709,-81.06530921950724,111.9985126226094
786.1328125,-90.77216509361611,12.19956975984073,-78.0251851384695,119.8703016986631
791.015625,-88.95302419837918,20.31554731449463,-81.70293518314053,122.8361325789159
795.8984375,-88.97189806146073,19.65464948588228,-89.12148002015795,58.1473997270096
800.78125,-91.00844119460092,24.33091859283693,-79.89596657132728,96.31406653440202
805.6640625,-91.41008844152657,45.74492084341566,-75.9007107195429,122.2261525367621
810.546875,-91.44632371708269,45.51675147252857,-72.36673015304115,136.139039086834
815.4296875,-91.84115210407413,35.55897409771539,-70.89521316160506,142.6476029728429
820.3125,-90.54745229378709,47.57258452703138,-70.51311517285781,148.240631913791
825.1953125,-92.04443098595308,53.61263349084611,-71.04611903104181,144.8269246872209
830.078125,-94.08910877872215,56.08349853691227,-73.44852501396927,129.1149878784971
834.9609375,-91.09095124210251,74.57449372234299,-77.59750053001983,104.6336456295366
839.84375,-92.76646789082511,72.01471108594511,-82.98172960087527,79.40093528211884
844.7265625,-95.27594245170958,169.5009608636485,-87.54257361588957,5.206200995905199
849.609375,-88.2278917084907,132.9889924601732,-83.17537713827194,163.9236430329725
854.4921875,-83.00747353176307,126.8285161617683,-84.5267776767781,26.99693745576367
859.375,-79.59677959634639,130.7775508560206,-80.44835913230696,61.59882526781707
864.2578125,-78.69510333403264,135.0273460116249,-75.7328139405012,68.43982734092225
869.140625,-79.79291591322821,138.9012675979326,-73.84226490748159,78.28529330291005
874.0234375,-82.74448548346942,138.766754056816,-74.90126615102655,80.55135980886398
878.90625,-86.89177544325898,108.0422199274185,-76.01954936312067,68.9568976514777
883.7890625,-84.87231002360829,59.4496647554777,-77.00820140807684,61.18312493266262
888.671875,-81.94882338682989,48.9982985588658,-77.61915941041427,56.20980937392618
893.5546875,-81.15344777633725,52.15404032033721,-76.85093796002528,45.78335146449477
898.4375,-83.18839989109298,50.78592006850417,-76.59463069672975,27.14891155215633
903.3203125,-87.03617626758412,41.9151105615847,-76.16429801821435,11.57954192525901
908.203125,-91.38191781344622,33.15842992800012,-75.72630512691286,168.2044763520024
913.0859375,-96.22284804283746,155.9731158075274,-74.75798474176553,144.2378948414221
917.96875,-91.473072477871,115.7915559682681,-77.30566856923049,133.3174505861235
922.8515625,-91.35158028993801,107.0371521649795,-81.33602685741411,103.4539757252049
927.734375,-90.23836679502537,107.0850839561639,-81.1970003706363,93.35395987531673
932.6171875,-87.07739701471991,128.4221328973909,-80.12523924997666,140.8009044712572
937.5,-84.85157462798415,151.5342185055101,-75.52631392507105,159.3097340290097
942.3828125,-84.31254295463634,167.0447203452137,-73.06369551603838,160.5861421635842
947.265625,-84.67498366740999,176.2223523645923,-72.04137618857385,162.8422725205554
952.1484375,-87.43063035376665,8.25987543619825,-73.57217005369476,166.6313191154498
957.03125,-94.86956671889823,73.74262109984467,-79.09536998554374,0.5349623331139348
961.9140625,-90.4853227230967,121.0973650659415,-80.20398320815823,30.6008719260079
966.796875,-90.29914303202476,111.6372684471297,-77.18794103901303,33.30389132657185
971.6796875,-94.45715749290818,78.03575197421949,-75.42845604844324,32.56202385079934
976.5625,-90.26760150126621,16.69932859042862,-73.84925837436997,39.72364753964111
981.4453125,-85.71164387904304,23.14272988092483,-61.47595303615857,14.08074997179758
986.328125,-60.93591387203581,20.45388670340893,-40.66461076834699,20.49234371042243
991.2109375,-51.82440714441147,20.43532356602659,-31.84933961002776,20.86401314439451
996.09375,-49.20142317567996,20.2881793255992,-29.30786047448638,20.90931254830419
1000.9765625,-49.00992935939142,20.41083421685261,-29.18168523189328,21.0438766477694
1005.859375,-49.57504191640156,20.82872700816851,-29.81100454698135,21.19624306505808
1010.7421875,-54.09726627975162,21.25909062819276,-34.43022063609034,21.31799559386215
1015.625,-66.091696363895,22.5438660767851,-46.78754499828766,22.16854947016331
1020.5078125,-89.57238101519545,40.23932214517022,-76.13687621928931,54.0000013057663
1025.390625,-96.38901436189809,29.88318900191387,-82.25410536807082,177.2334870237844
1030.2734375,-89.6735878978883,5.684583477277252,-84.79821052945147,39.19393342975829
1035.15625,-84.34943917451642,6.861573478256513,-86.64281590101191,60.03594146912773
1040.0390625,-81.00983673678854,5.030932421111374,-92.1142175298516,135.4923729275055
1044.921875,-80.61489873534696,178.3251008699775,-85.83061162993539,14.84149601156745
1049.8046875,-83.51165364715223,170.2078299596346,-85.26452813602795,50.21078170936031
1054.6875,-91.44349940525949,135.2252688371948,-86.60630514116028,75.93811547577828
1059.5703125,-88.36190577171263,43.3286029674486,-102.3388507156566,98.12894901171482
1064.453125,-84.52300157548561,23.68341378028768,-88.27350375176032,40.10406632742241
1069.3359375,-84.54579557729207,26.7058904491001,-84.65663022878618,46.80039025058899
1074.21875,-86.44849398750605,53.41856097927771,-81.97340273817964,68.8999792033955
1079.1015625,-88.23310066216462,87.65259267867337,-79.12497182212789,72.6352649377372
1083.984375,-90.65151384234197,100.390952320958,-76.17345161568653,62.36489860483969
1088.8671875,-99.03882242953972,98.37185592336708,-74.75424444271192,52.04276861785033
1093.75,-110.0667286177273,125.2999005782758,-75.28453247011274,43.18550622417089
1098.6328125,-101.0645661670451,97.19468887043995,-77.71552969448454,31.28758524335732
1103.515625,-96.88494059976608,63.92353683068954,-81.44125519764223,165.9210517355596
1108.3984375,-96.6096958932666,23.53480582624074,-81.84242202715622,108.1186487502793
1113.28125,-94.99828412419325,169.0606230848016,-82.63234687457768,70.1876438826134
1118.1640625,-94.21906871858788,149.1984700504694,-86.04161628973878,59.40507091789653
1123.046875,-97.8624459208965,151.869360859846,-91.14861062750074,17.97811071061602
1127.9296875,-97.78586118925378,54.03762912590051,-92.49193353180198,172.9732496997306
1132.8125,-92.29618461492285,64.09676809519351,-107.2352090744229,116.4701705265837
1137.6953125,-88.34895173324041,62.17040018086882,-89.63885118593379,135.1814308643081
1142.578125,-84.99602584944978,58.55872492455958,-83.07187369102664,123.3644476925393
1147.4609375,-83.44249361275594,47.54918968447816,-82.41635535107096,114.4184503971455
1152.34375,-83.45561614107856,41.17727233319767,-83.1732677161383,108.2195489940446
1157.2265625,-84.98732513945993,44.48225464008154,-83.78922648818809,110.724757576932
1162.109375,-87.1056533661813,43.77724072186039,-90.79830535220125,109.3082187379739
1166.9921875,-90.25128096975715,31.84838036179827,-95.93907102912786,126.6595096118379
1171.875,-94.91319030568124,174.8082898536934,-86.28218024855427,117.0583859742796
1176.7578125,-95.94924897691349,158.0687396352278,-82.06436205443723,125.0357222637479
1181.640625,-101.7820767996852,167.3649282109968,-80.43377111602692,121.9502784176433
1186.5234375,-95.82535826385489,73.30433045594866,-79.56121258738344,98.51227721326968
1191.40625,-90.15349637719194,67.86407096063385,-78.05776806478032,87.40956019683453
1196.2890625,-90.12596632215531,60.00329712418407,-78.61900090330015,87.09756776606046
1201.171875,-91.20635784711624,69.89045760376099,-83.06623993010541,104.7836484008314
1206.0546875,-94.66801824547019,81.22755871072097,-85.16093451597422,4.872119574232353
1210.9375,-102.1254171840315,10.81326937128841,-81.41731884012609,40.25410709220369
1215.8203125,-100.5917900022302,153.5358719460385,-83.16148743589008,39.74121625286965
1220.703125,-98.20587375083539,45.4794705224832,-102.3438444978303,179.9032766717312
1225.5859375,-90.57767163684568,80.33106338519065,-83.37338548247135,50.26570204256326
1230.46875,-87.71405038515178,93.15833280476681,-78.72921979042222,64.38391702086574
1235.3515625,-88.25973570236607,98.61286675464112,-78.66613521492967,78.6544375455113
1240.234375,-91.42922763248617,120.6731724532809,-78.54133245333878,101.3340797064949
1245.1171875,-94.34719715959339,159.5553931954151,-75.76375447306222,116.3397267818584
1250,-95.31167531929884,14.73718090821924,-74.64981439100367,127.004198858765
1254.8828125,-95.44402568270451,35.76680343706416,-74.88080043402911,135.0699653618138
1259.765625,-98.29254443492081,68.83402517688671,-77.35788712294587,140.5037090890918
1264.6484375,-93.78929824824422,99.02908752711309,-81.54073357204862,2.994305750333317
1269.53125,-88.67192217736445,90.83989502309208,-77.70180041599883,50.68365252353173
1274.4140625,-85.93107245846332,87.96571549049045,-75.10995567887848,71.26854115062233
1279.296875,-84.16334862254982,88.55526904379856,-73.15649142781768,83.74971618365866
1284.1796875,-83.25431020342668,85.92268669207347,-71.14806563768889,86.29197937174914
1289.0625,-84.52355956117566,81.97600304561922,-70.5311900392623,85.52637076990275
1293.9453125,-86.72980273293028,78.22277179596499,-72.21624968513251,82.19162780688849
1298.828125,-87.11746910083578,71.85187946280337,-75.74283138046935,76.99579253168902
1303.7109375,-85.58796704906656,56.97350192952388,-81.92683133895328,76.8525765402108
1308.59375,-83.71513700951255,50.87419319632998,-91.99495905152708,162.4461847017001
1313.4765625,-82.59284841577445,59.77086108730845,-81.7145739402637,12.72683152096062
1318.359375,-81.92648845402033,73.52376928749942,-78.55566898980604,2.614671853556959
1323.2421875,-82.95855913460341,92.10623787795581,-78.90460875255573,166.0775395953556
1328.125,-84.71528776092896,119.6018793192105,-80.98066025883676,143.2332117340521
1333.0078125,-86.0116402850079,146.8481240967683,-84.47229150413207,123.6075692780766
1337.890625,-87.67799928027497,1.353819455713278,-87.54933876072074,97.33083870464883
1342.7734375,-88.63188838389743,37.62119654913775,-90.74703225144381,67.68626062292483
1347.65625,-90.48925437805259,59.83695577944439,-98.46495339768951,27.71178405877786
1352.5390625,-95.1214097248421,85.5188214413968,-89.33875205551091,112.7032291315019
1357.421875,-107.9357636698176,156.9141322757374,-82.36860194782352,130.1021505655922
1362.3046875,-97.49314733839279,121.1079065764821,-82.66542546829614,148.3148085097199
1367.1875,-95.31983691237397,147.6780045478059,-84.7327916693621,139.4538265139182
1372.0703125,-94.86781238058839,18.97820200133559,-82.39901496664443,128.1781874862485
1376.953125,-88.8239190771357,46.1482223436036,-82.83286536573274,110.9000715325152
1381.8359375,-86.55945855664015,61.03937585265548,-84.00219998075281,94.33093097547543
1386.71875,-86.09469882930253,78.38633865443235,-82.7379977795111,115.7852923080158
